Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP2910,-,831,3,2,1,0.00361,1.6972,putative hydrolase,miscellaneous,Cytoplasmic,
BP1117,greB,555,2,1,1,0.00360,1.5683,transcription elongation factor,macromolecule synthesis/modification,Cytoplasmic,
BP0630,-,834,3,0,3,0.00360,1.7028,probable transcriptional regulator,regulation,Cytoplasmic,
BP1280,proC,834,3,1,2,0.00360,1.6948,pyrroline-5-carboxylate reductase,amino acid biosynthesis,Cytoplasmic,
BP3535,-,1119,4,1,3,0.00357,1.5665,sensor kinase protein,regulation,Cytoplasmic Membrane,
BP3571,-,840,3,0,3,0.00357,1.6980,putative aminotransferase,central/intermediary metabolism,Cytoplasmic,
BP1076,dhpS,843,3,0,3,0.00356,1.7036,dihydropteroate synthase,cofactor biosynthesis,Cytoplasmic,
BP1154,-,846,3,1,2,0.00355,1.6859,putative membrane protein,cell surface,Cytoplasmic Membrane,+
BP1699,-,849,3,0,3,0.00353,1.6763,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2276,-,1698,6,4,2,0.00353,1.5775,putative ABC transport permease,transport/binding proteins,Cytoplasmic Membrane,
BP3750,-,849,3,1,2,0.00353,1.6688,putative esterase,small molecule degradation,Cytoplasmic,-
BP3644,-,567,2,1,1,0.00353,1.5839,histidine triad protein (pseudogene),pseudogenes,ND,
BP0453,-,1140,4,3,1,0.00351,1.5762,low-specificity D-threonine aldolase,central/intermediary metabolism,Cytoplasmic,
BP2387,-,285,1,0,1,0.00351,1.5637,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3562,-,285,1,0,1,0.00351,1.5616,BolA-like protein,adaptation,Unknown,
BP1877,bvgS,3717,13,4,10,0.00350,0.5465,virulence sensor protein,virulence-associated genes,Cytoplasmic Membrane,+
BP1335,-,1146,4,0,4,0.00349,1.5792,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0769,-,861,3,1,2,0.00348,1.6838,probable aminotransferase,miscellaneous,Cytoplasmic,
BP2096,-,1149,4,1,3,0.00348,1.5705,putative fatty-acyl-CoA racemase,miscellaneous,Cytoplasmic,
BP1219,-,864,3,1,2,0.00347,1.6676,putative phytoene synthase,central/intermediary metabolism,Cytoplasmic,
BP3028,ftsI,1731,6,1,5,0.00347,1.6040,peptidoglycan synthetase precursor,cell surface,Cytoplasmic Membrane,
BP1062,-,1155,4,2,2,0.00346,1.5638,probable aminotransferase,miscellaneous,Cytoplasmic,
BP1196,-,1155,4,2,2,0.00346,1.5540,putative exported protein,cell surface,Unknown,-
BP3318,-,1157,4,4,0,0.00346,1.5423,conserved hypothetical protein (Pseudogene),pseudogenes (phase-variable),ND,
BP1347,-,579,2,1,1,0.00345,1.5990,putative reductase,miscellaneous,Unknown,
BP2113,-,1449,5,1,4,0.00345,1.5698,putative amidase (pseudogene),pseudogenes,ND,
BP0684,-,871,3,1,2,0.00344,1.6903,molybdopterin dehydrogenase (Pseudogene),pseudogenes (phase-variable),ND,-
BP0974,-,873,3,0,3,0.00344,1.6844,putative membrane protein,cell surface,Cytoplasmic Membrane,-
BP1279,-,582,2,1,1,0.00344,1.5958,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2228,alr,1164,4,1,3,0.00344,1.5498,"alanine racemase, catabolic",cell surface,Cytoplasmic,+
BP2299,-,291,1,0,1,0.00344,1.5628,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2376,-,873,3,1,2,0.00344,1.6773,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3445,-,582,2,0,2,0.00344,1.5919,putative NUDIX hydrolase,miscellaneous,Cytoplasmic,
BP2552,-,1752,6,2,4,0.00342,1.5657,"ABC transport protein, solute-binding protein",transport/binding proteins,Cytoplasmic Membrane,
BP2432,lep,885,3,1,2,0.00339,1.6650,signal peptidase I,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP2925,-,885,3,2,1,0.00339,1.6582,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP1941,-,591,2,2,0,0.00338,1.6059,putative membrane protein,cell surface,Unknown,
BP3661,-,1185,4,2,2,0.00338,1.5915,putative transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP0536,-,889,3,3,0,0.00337,1.6612,putative exported protein (Pseudogene),pseudogenes,ND,+
BP2069,-,890,3,3,0,0.00337,1.6586,putative transmembrane component of ABC transporter (pseudogene),pseudogenes,ND,-
BP0814,-,891,3,1,2,0.00337,1.6561,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2430,-,891,3,2,1,0.00337,1.6495,GTP-binding protein,miscellaneous,Cytoplasmic Membrane,
BP0451,argM,1191,4,1,3,0.00336,1.5953,succinylornithine transaminase,small molecule degradation,Cytoplasmic,
BP0663,-,894,3,1,2,0.00336,1.6550,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2366,prpB,896,3,1,2,0.00335,1.6566,probable methylisocitrate lyase (pseudogene),pseudogenes (phase-variable),ND,-
BP0070,-,299,1,0,1,0.00334,1.5640,putative hydroxylase beta subunit (Pseudogene),pseudogenes,ND,
BP0103,-,900,3,2,1,0.00333,1.6531,probable class IV aminotransferase,miscellaneous,Cytoplasmic,
BP0251,-,900,3,0,3,0.00333,1.6467,LysR family transcriptional regulator,regulation,Cytoplasmic,
BP0352,-,300,1,1,0,0.00333,1.5579,hypothetical protein,unknown,Cytoplasmic,
BP0530,-,600,2,1,1,0.00333,1.6196,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1662,-,300,1,0,1,0.00333,1.5559,putative DNA-binding protein,miscellaneous,Unknown,
BP1778,-,900,3,0,3,0.00333,1.6404,probable LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2263,bscE,300,1,0,1,0.00333,1.5538,hypothetical protein,virulence-associated genes,Unknown,+
BP2505,ppnK,900,3,1,2,0.00333,1.6341,probable inorganic polyphosphate/ATP-NAD kinase,central/intermediary metabolism,Cytoplasmic,
BP2515,soxG,600,2,0,2,0.00333,1.6157,sarcosine oxidase gamma subunit,macromolecule degradation,Unknown,
BP3099,-,300,1,1,0,0.00333,1.5518,putative exported protein,cell surface,Unknown,
BP3517,-,600,2,1,1,0.00333,1.6119,putative membrane protein,cell surface,Unknown,-
BP3857,-,1200,4,2,2,0.00333,1.5827,putative hydrolase,miscellaneous,Unknown,
BP2235,bscC,1803,6,4,2,0.00333,1.4678,putative type III secretion protein,virulence-associated genes,Outer Membrane,+
BP2045,-,1203,4,0,4,0.00333,1.5847,putative transmembrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP3255,-,903,3,1,2,0.00332,1.6396,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2707,moeA,1206,4,1,3,0.00332,1.5868,molybdopterin cofactor biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP0134,-,303,1,1,0,0.00330,1.5462,putative bacterioferritin-associated ferredoxin,adaptation,Unknown,+
BP0970A,cysD,909,3,1,2,0.00330,1.6259,sulfate adenylyltransferase subunit 2,central/intermediary metabolism,Cytoplasmic,
BP1101,-,303,1,1,0,0.00330,1.5442,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP1241,-,606,2,0,2,0.00330,1.6134,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP1433,rnhB,606,2,2,0,0.00330,1.6096,ribonuclease HII,macromolecule degradation,Cytoplasmic,
BP3115,-,1212,4,0,4,0.00330,1.5910,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3171,ureA,303,1,0,1,0.00330,1.5422,urease gamma subunit,small molecule degradation,Cytoplasmic,
BP3508,-,606,2,1,1,0.00330,1.6059,hypothetical protein,unknown,Cytoplasmic,
BP3541,-,909,3,2,1,0.00330,1.6199,LysR family regulatory protein,regulation,Cytoplasmic,
BP1286,-,608,2,1,1,0.00329,1.6101,conserved hypothetical protein,conserved hypothetical,Unknown,+
BP2030,-,912,3,3,0,0.00329,1.6075,putative LysR-family transcriptional activator,regulation,Cytoplasmic,
BP2933,cyoA,915,3,1,2,0.00328,1.6012,putative ubiquinol oxidase polypeptide II,energy metabolism,Cytoplasmic Membrane,
BP0570,-,612,2,1,1,0.00327,1.6111,putative exported protein,cell surface,Unknown,
BP0458,-,925,3,1,2,0.00324,1.6157,probable aminoacyl-tRNA synthetase (Pseudogene),pseudogenes,ND,+
BP2639,-,309,1,1,0,0.00324,1.5391,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP3177,-,1236,4,2,2,0.00324,1.6528,putative methylaspartate ammonia-lyase,energy metabolism,Cytoplasmic,
BP2140,-,930,3,3,2,0.00323,1.6171,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0698,-,621,2,1,1,0.00322,1.6280,putative exported protein,cell surface,Unknown,
BP2840,-,621,2,1,1,0.00322,1.6243,putative TetR-family transcriptional regulator,regulation,Cytoplasmic,
BP2824,-,1245,4,0,4,0.00321,1.6589,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0983,-,936,3,0,3,0.00321,1.5999,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2598,-,624,2,1,1,0.00321,1.6214,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0550,-,627,2,1,1,0.00319,1.6257,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1847,tmk,627,2,0,2,0.00319,1.6221,thymidylate kinase,central/intermediary metabolism,Cytoplasmic,
BP3124,rplY,627,2,1,1,0.00319,1.6185,50S ribosomal protein L25,ribosome constituents,Cytoplasmic,
BP1473,fdhB,628,2,1,1,0.00318,1.6187,formate dehydrogenase iron-sulfur subunit (Pseudogene),pseudogenes,ND,
BP3160,-,942,3,1,2,0.00318,1.6107,putative ABC transporter permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP0844,nuoD,1257,4,3,1,0.00318,1.6498,"respiratory-chain NADH dehydrogenase, 49 kDa subunit",energy metabolism,Cytoplasmic,
BP1635,-,1572,5,2,3,0.00318,1.6465,putative arylsulfatase protein,small molecule degradation,Cytoplasmic,
BP0024,-,315,1,0,1,0.00317,1.5398,putative racemase (Pseudogene),pseudogenes,ND,
BP0699,-,630,2,0,2,0.00317,1.6156,putative exported protein,cell surface,Unknown,
BP1471,-,630,2,1,2,0.00317,1.6121,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1878,bvgA,630,2,2,0,0.00317,1.6085,virulence factors transcription regulator,virulence-associated genes,Cytoplasmic,+
BP3027,murE,2838,9,2,7,0.00317,1.4523,Possible murein precusor biosynthesis bifunctional protein,cell surface,Cytoplasmic,
BP2038,-,948,3,1,2,0.00316,1.6216,putative hydroxlacyl-CoA dehydrogenase,miscellaneous,Unknown,
BP3695,-,948,3,1,2,0.00316,1.6160,putative hydroxymethylglutaryl-CoA lyase,small molecule degradation,Cytoplasmic,+
BP1578,gmK,633,2,1,1,0.00316,1.6093,guanylate kinase,central/intermediary metabolism,Cytoplasmic,
BP2659,-,633,2,2,0,0.00316,1.6058,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1903,-,1587,5,3,2,0.00315,1.6133,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3862,-,1587,5,2,3,0.00315,1.6016,putative extracellular solute-binding protein,cell surface,Periplasmic,
BP1012,-,318,1,1,0,0.00314,1.5324,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1972,srpH,954,3,0,3,0.00314,1.6214,serine acetyltransferase,amino acid biosynthesis,Cytoplasmic,
BP2691,-,954,3,2,1,0.00314,1.6159,"ABC-transport protein, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP3130,-,954,3,0,3,0.00314,1.6105,putative cyclase,miscellaneous,Cytoplasmic,
BP0804,betT,2232,7,3,4,0.00314,1.5522,high-affinity choline transport protein,adaptation,Cytoplasmic Membrane,
BP1593,-,638,2,1,1,0.00313,1.6106,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1508,-,642,2,1,1,0.00312,1.6151,putative inner membrane component of binding-protein-dependent transport system,transport/binding proteins,Cytoplasmic Membrane,
BP2034,-,963,3,0,3,0.00312,1.6159,putative LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP2729,-,642,2,1,1,0.00312,1.6117,cytochrome ubiquinol oxidase subunit III,energy metabolism,Cytoplasmic Membrane,-
BP3281,-,321,1,0,1,0.00312,1.5271,putative inner membrane ATP synthase protein,energy metabolism,Cytoplasmic Membrane,
BP3389,-,321,1,0,1,0.00312,1.5252,phage-related hypothetical protein,conserved hypothetical,Unknown,
BP3743,coxA,1608,5,4,1,0.00311,1.5714,cytochrome c oxidase polypeptide I,energy metabolism,Cytoplasmic Membrane,-
BP3424,-,322,1,1,0,0.00311,1.5272,putative exported protein (pseudogene),pseudogenes,ND,+
BP2731,-,967,3,2,1,0.00310,1.5934,putative ubiquinol oxidase subunit II (pseudogene),pseudogenes (phase-variable),ND,-
BP0222,catJ,645,2,2,0,0.00310,1.6125,3-oxoadipate CoA-transferase subunit B,small molecule degradation,Cytoplasmic,
BP2790,-,969,3,0,3,0.00310,1.5953,putative exported protein,cell surface,Cytoplasmic Membrane,
BP3843,-,969,3,2,1,0.00310,1.5902,putative lipoprotein,cell surface,Periplasmic,
BP2525A,-,1618,5,0,5,0.00309,1.5827,probable secretory protein (pseudogene),pseudogenes,ND,
BP0148,-,972,3,1,2,0.00309,1.5905,putative exported protein,cell surface,Periplasmic,
BP0641,-,972,3,0,3,0.00309,1.5854,putative exported protein,cell surface,Unknown,-
BP1801,iscA,324,1,1,0,0.00309,1.5292,[Fe-S] cluster formation/repair protein,macromolecule synthesis/modification,Cytoplasmic,+
BP2066,-,972,3,1,2,0.00309,1.5804,putative exported protein,cell surface,Periplasmic,
BP3064,-,972,3,0,3,0.00309,1.5754,putative transcriptional regulator,regulation,Cytoplasmic,
BP3337,-,972,3,1,2,0.00309,1.5705,putative gamma-glutamyltranspeptidase (pseudogene),pseudogenes,ND,
BP3861,-,975,3,2,1,0.00308,1.5709,putative transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP2032,-,977,3,0,3,0.00307,1.5728,putative transmembrane transport protein (pseudogene),pseudogenes (phase-variable),ND,
BP2634,dadA,1303,4,3,1,0.00307,1.7042,D-amino acid dehydrogenase small subunit (pseudogene),pseudogenes (phase-variable),ND,
BP3440,-,978,3,2,1,0.00307,1.5713,putative exported protein,cell surface,Unknown,-
BP0423,-,1633,5,1,4,0.00306,1.5792,putative fatty acid CoA ligase (Pseudogene),pseudogenes,ND,
BP0680,-,327,1,1,0,0.00306,1.5368,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1141,-,327,1,0,1,0.00306,1.5349,putative iron uptake protein,adaptation,Cytoplasmic Membrane,
BP1696,phaG,327,1,0,1,0.00306,1.5331,putative pH adaptation potassium efflux protein,adaptation,Cytoplasmic Membrane,
BP2232,-,1308,4,0,4,0.00306,1.7052,hypothetical protein,unknown,Cytoplasmic,+
BP2398,-,981,3,1,2,0.00306,1.5717,putative L-asparaginase,miscellaneous,Periplasmic,+
BP1149,phbC,1638,5,3,2,0.00305,1.5648,poly-beta-hydroxybutyrate polymerase,central/intermediary metabolism,Cytoplasmic,+
BP0931,-,984,3,1,2,0.00305,1.5722,putative exported protein,cell surface,Unknown,
BP0500,-,1971,6,4,2,0.00304,1.6000,hypothetical protein,virulence-associated genes,Outer Membrane,+
BP2769,adK,657,2,1,1,0.00304,1.6156,adenylate kinase,central/intermediary metabolism,Cytoplasmic,
BP0509,-,987,3,0,3,0.00304,1.5631,phage-related DNA recombination protein,phage-related or transposon-related,Unknown,
BP0671,-,987,3,1,2,0.00304,1.5584,putative exported protein,cell surface,Unknown,
BP0523,-,660,2,0,2,0.00303,1.6164,probable haloacid dehalogenase,miscellaneous,Cytoplasmic,
BP1259,-,660,2,1,1,0.00303,1.6130,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1644,-,990,3,1,2,0.00303,1.5543,putative exported protein,cell surface,Unknown,
BP3250,-,660,2,1,1,0.00303,1.6097,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3368,-,330,1,1,0,0.00303,1.5314,phage-related conserved hypothetical protein,unknown,Unknown,
BP3396,-,330,1,0,1,0.00303,1.5295,putative conserved inner membrane protein,cell surface,Cytoplasmic Membrane,
BP3618,rplV,330,1,1,0,0.00303,1.5277,50S ribosomal protein L22,ribosome constituents,Cytoplasmic,
BP3654,cyaY,330,1,0,1,0.00303,1.5259,conserved hypothetical protein,virulence-associated genes,Unknown,
BP1900,-,993,3,0,3,0.00302,1.5596,putative exported protein,cell surface,Unknown,
BP0105,lipB,663,2,1,1,0.00302,1.6138,lipoate-protein ligase B,cofactor biosynthesis,Cytoplasmic,
BP1969,-,663,2,0,2,0.00302,1.6105,putative LuxR-family transcriptional regulator,regulation,Cytoplasmic,
BP2170,-,663,2,1,1,0.00302,1.6073,probable cytochrome C oxidase subunit,energy metabolism,Unknown,
BP1054,prn,2658,8,3,6,0.00301,1.5559,pertactin precursor,virulence-associated genes,Outer Membrane,+
BP1426,-,1335,4,1,3,0.00300,1.7025,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3189,-,1335,4,1,3,0.00300,1.6947,putative coenzyme A ligase,miscellaneous,Cytoplasmic,
BP3192,-,1002,3,1,2,0.00299,1.5659,putative ABC transporter permease protein,transport/binding proteins,Cytoplasmic Membrane,-
BP1788,pcaI,669,2,0,2,0.00299,1.6154,3-oxoadipate CoA-transferase subunit A,small molecule degradation,Cytoplasmic,
BP2410,-,1339,4,1,3,0.00299,1.6852,putative integral membrane protein (pseudogene),pseudogenes,ND,
BP0285,-,1005,3,1,2,0.00299,1.5711,putative acetyl esterase,small molecule degradation,Cytoplasmic,
BP2219,-,1005,3,0,3,0.00299,1.5665,putative cell surface protein,cell surface,Unknown,-
BP2772,-,1005,3,1,2,0.00299,1.5620,putative membrane protein,cell surface,Periplasmic,+
BP0821,hyuB,2013,6,3,3,0.00298,1.6329,hydantoin utilization protein B,amino acid biosynthesis,Cytoplasmic,
BP0329,-,1680,5,2,3,0.00298,1.5897,putative coenzyme A ligase,miscellaneous,Cytoplasmic,
BP0478,-,672,2,1,1,0.00298,1.6065,probable hydrolase,miscellaneous,Cytoplasmic,
BP1239,-,336,1,1,0,0.00298,1.5279,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1304,-,336,1,0,1,0.00298,1.5261,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2240,bscR,672,2,1,1,0.00298,1.6033,putative type III secretion protein,virulence-associated genes,Cytoplasmic Membrane,+
BP1330,-,2689,8,2,6,0.00298,1.5980,putative alpha-amylase (pseudogene),pseudogenes,ND,
BP1734,-,674,2,1,1,0.00297,1.6007,probable ATP-binding ABC transporter protein (Pseudogene),pseudogenes,ND,+
BP0370,pyrE,675,2,1,1,0.00296,1.6010,orotate phosphoribosyltransferase,ribonucleotide biosynthesis,Cytoplasmic,
BP0656,-,675,2,2,0,0.00296,1.5978,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2966,-,675,2,0,2,0.00296,1.5947,probable carboxylesterase,central/intermediary metabolism,Unknown,
BP2185,dnaG,2031,6,1,5,0.00295,1.6075,DNA primase,cell processes,Cytoplasmic,
BP1736,-,339,1,1,0,0.00295,1.5279,putative exported protein,cell surface,Periplasmic,-
BP2294,-,1017,3,0,3,0.00295,1.5646,putative integral membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2736,-,339,1,0,1,0.00295,1.5261,nitrogen regulatory protein P-II,regulation,Cytoplasmic Membrane,
BP3466,-,339,1,1,0,0.00295,1.5243,putative ArsR family transcriptional regulator,regulation,Unknown,
BP3666,-,1017,3,2,1,0.00295,1.5602,putative exported protein,cell surface,Unknown,
BP3858,-,1017,3,0,3,0.00295,1.5558,putative transport ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
BP2548,-,1359,4,0,4,0.00294,1.6776,two-component system histidine kinase,regulation,Cytoplasmic Membrane,
BP0654,-,1020,3,2,1,0.00294,1.5565,putative exported protein,cell surface,Periplasmic,
BP3063,-,1020,3,0,3,0.00294,1.5521,putative aminohydrolase,small molecule degradation,Cytoplasmic,-
BP0876,-,681,2,2,0,0.00294,1.6027,putative lipoprotein,cell surface,Unknown,
BP1186,-,681,2,0,2,0.00294,1.5996,putative aldolase,miscellaneous,Cytoplasmic,+
BP3061,-,681,2,2,0,0.00294,1.5965,5-formyltetrahydrofolate cyclo-ligase family protein,miscellaneous,Unknown,
BP3865,-,681,2,1,1,0.00294,1.5934,putative response regulator protein,regulation,Cytoplasmic,
BP0114,-,684,2,2,0,0.00292,1.5973,putative exported protein,cell surface,Unknown,
BP1907,-,684,2,1,1,0.00292,1.5943,putative exported protein,cell surface,Unknown,
